Fecha,Nombre Corto,Localidad,Comuna,Grupo Cliente,Clientes,M3 Ap
2028-01-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28784.107865377628,573055.3899121819
2028-02-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28786.671239865875,574393.2008458008
2028-03-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28789.094885411716,575731.0117794196
2028-04-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28791.386418607046,577068.8227130385
2028-05-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28793.553040865118,578406.6336466575
2028-06-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28795.60156105184,579744.4445802763
2028-07-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28797.538416883435,581082.2555138952
2028-08-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28799.36969515772,582420.0664475141
2028-09-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28801.10115088259,583757.8773811329
2028-10-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28802.738225361816,585095.6883147517
2028-11-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28804.28606329497,586433.4992483706
2028-12-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28805.74952894526,587771.3101819896
2029-01-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28807.133221426044,589109.1211156084
2029-02-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28808.441489154087,590446.9320492273
2029-03-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28809.678443514982,591784.7429828462
2029-04-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28810.847971783653,593122.553916465
2029-05-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28811.953749340577,594460.364850084
2029-06-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28812.99925122211,595798.1757837029
2029-07-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28813.987763041187,597135.9867173217
2029-08-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28814.922391312746,598473.7976509405
2029-09-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28815.806073216336,599811.6085845595
2029-10-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28816.641585826528,601149.4195181783
2029-11-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28817.431554840216,602487.2304517971
2029-12-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28818.178462828164,603825.041385416
2030-01-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28818.884657036793,605162.852319035
2030-02-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28819.552356764667,606500.6632526538
2030-03-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28820.18366033691,607838.4741862727
2030-04-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28820.780551699427,609176.2851198916
2030-05-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28821.344906653707,610514.0960535104
2030-06-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28821.878498751736,611851.9069871292
2030-07-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28822.383004869596,613189.7179207483
2030-08-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28822.860010477245,614527.5288543671
2030-09-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28823.31101462105,615865.3397879859
